model,horizon,threshold,run_id,start,end,timestamps,alerts,true_alerts,false_alerts,onsets,warned_onsets,location_hours,median_lead_minutes,onset_recall,precision,false_warnings_per_location_day,AP,ap_samples,ap_positive,prevalence
v5,15,0.315,0,202608260150,202608260205,4,0,0,0,0,0,0.75,,,,0.0,,36,0,0.0
v5,15,0.315,1,202608260710,202608260800,11,0,0,0,0,0,6.0,,,,0.0,,99,0,0.0
v5,15,0.315,2,202608261005,202608261405,49,9,6,3,19,6,34.5,10.0,0.3157894736842105,0.6666666666666666,2.0869565217391304,0.6058248477231646,320,60,0.1875
v5,15,0.315,3,202608261540,202608261550,3,0,0,0,0,0,0.0,,,,,,25,0,0.0
v5,15,0.315,4,202608261710,202608270050,93,0,0,0,4,0,67.5,,0.0,,0.0,0.2522120802446185,776,7,0.00902061855670103
v5,15,0.315,5,202608270400,202608270515,16,0,0,0,0,0,9.75,,,,0.0,,144,0,0.0
v5,15,0.315,6,202608270745,202608271855,135,4,4,0,12,4,99.0,10.0,0.3333333333333333,1.0,0.0,0.5094448001060549,1175,30,0.02553191489361702
v5,15,0.315,7,202608272205,202608272215,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,15,0.315,8,202608272320,202608280025,14,0,0,0,0,0,8.25,,,,0.0,,125,0,0.0
v5,15,0.315,9,202608280805,202608280855,11,0,0,0,0,0,6.0,,,,0.0,,99,0,0.0
v5,15,0.315,10,202608281000,202608281110,15,0,0,0,0,0,9.0,,,,0.0,,135,0,0.0
v5,15,0.315,11,202608281425,202608281430,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,12,202608281610,202608281620,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,15,0.315,13,202608281725,202608281940,28,0,0,0,0,0,18.75,,,,0.0,,252,0,0.0
v5,15,0.315,14,202608301535,202608301800,30,0,0,0,0,0,20.25,,,,0.0,,270,0,0.0
v5,15,0.315,15,202608310020,202608310215,24,0,0,0,0,0,15.75,,,,0.0,,216,0,0.0
v5,15,0.315,16,202608311010,202608311110,13,0,0,0,0,0,7.499999999999999,,,,0.0,0.07702702702702703,110,2,0.01818181818181818
v5,15,0.315,17,202608311215,202608311255,9,0,0,0,0,0,4.5,,,,0.0,,81,0,0.0
v5,15,0.315,18,202608311400,202608311420,5,0,0,0,0,0,1.5,,,,0.0,,45,0,0.0
v5,15,0.315,19,202608311700,202608311800,13,0,0,0,0,0,7.499999999999999,,,,0.0,,117,0,0.0
v5,15,0.315,20,202608312115,202608312240,18,0,0,0,0,0,11.25,,,,0.0,,162,0,0.0
v5,15,0.315,21,202608312345,202608312345,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,15,0.315,22,202609010050,202609010130,9,0,0,0,0,0,4.5,,,,0.0,,81,0,0.0
v5,15,0.315,23,202609010445,202609010445,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,15,0.315,24,202609010650,202609010655,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,25,202609011020,202609011055,8,0,0,0,0,0,3.7499999999999996,,,,0.0,,72,0,0.0
v5,15,0.315,26,202609011200,202609011340,21,4,1,3,2,1,13.5,15.0,0.5,0.25,5.333333333333333,0.1619522372805174,184,6,0.03260869565217391
v5,15,0.315,27,202609012020,202609012030,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,15,0.315,28,202609012345,202609020035,11,0,0,0,0,0,6.0,,,,0.0,,99,0,0.0
