model,horizon,threshold,run_id,location,time,index,hit,lead_minutes
v5,15,0.315,2,0,202608261125,16,True,10
v5,15,0.315,2,1,202608261145,20,True,10
v5,15,0.315,2,1,202608261345,44,True,5
v5,15,0.315,2,2,202608261225,28,True,15
v5,15,0.315,2,4,202608261150,21,True,10
v5,15,0.315,2,6,202608261145,20,True,5
v5,15,0.315,2,7,202608261155,22,False,
v5,15,0.315,2,7,202608261230,29,False,
v5,15,0.315,2,8,202608261225,28,False,
v5,15,0.315,6,0,202608271405,76,True,10
v5,15,0.315,6,1,202608271415,78,True,5
v5,15,0.315,6,4,202608271405,76,True,10
v5,15,0.315,6,7,202608271350,73,True,15
v5,15,0.315,26,4,202609011300,12,False,
v5,15,0.315,26,5,202609011300,12,False,
v5,15,0.315,26,7,202609011300,12,False,
v5,15,0.315,26,8,202609011305,13,True,15
v5,15,0.315,30,0,202609021155,12,True,10
v5,15,0.315,81,2,202609121020,2,False,
v5,15,0.315,81,5,202609121015,1,False,
v5,15,0.315,81,8,202609121020,2,True,5
v5,30,0.361,2,0,202608261125,16,True,10
v5,30,0.361,2,1,202608261145,20,True,10
v5,30,0.361,2,2,202608261220,27,True,20
v5,30,0.361,2,4,202608261150,21,True,10
v5,30,0.361,2,6,202608261145,20,True,5
v5,30,0.361,2,7,202608261155,22,True,20
v5,30,0.361,2,7,202608261230,29,False,
v5,30,0.361,2,8,202608261225,28,False,
v5,30,0.361,6,0,202608271405,76,True,10
v5,30,0.361,6,1,202608271410,77,True,10
v5,30,0.361,6,4,202608271405,76,True,10
v5,30,0.361,6,7,202608271345,72,True,20
v5,30,0.361,26,4,202609011300,12,False,
v5,30,0.361,26,5,202609011300,12,False,
v5,30,0.361,26,7,202609011300,12,False,
v5,30,0.361,26,8,202609011305,13,True,15
v5,30,0.361,30,0,202609021155,12,True,10
v5,60,0.301,2,0,202608261125,16,True,10
v5,60,0.301,2,1,202608261145,20,True,10
v5,60,0.301,2,2,202608261220,27,True,20
v5,60,0.301,2,4,202608261145,20,True,15
v5,60,0.301,2,5,202608261225,28,True,15
v5,60,0.301,2,6,202608261125,16,True,25
v5,60,0.301,2,7,202608261155,22,True,20
v5,60,0.301,2,7,202608261230,29,True,45
v5,60,0.301,2,8,202608261225,28,True,60
v5,60,0.301,6,0,202608271405,76,True,10
v5,60,0.301,6,1,202608271410,77,True,10
v5,60,0.301,6,3,202608271410,77,False,
v5,60,0.301,6,4,202608271400,75,True,15
v5,60,0.301,6,6,202608271405,76,False,
v5,60,0.301,6,7,202608271345,72,True,20
v5,60,0.301,30,0,202609021155,12,True,10
v5,60,0.301,30,6,202609021130,7,True,15
v5,60,0.301,70,5,202609100930,0,False,
v5,60,0.301,70,6,202609101230,36,True,15
depth2_spatial,15,0.453,2,0,202608261020,3,True,10
depth2_spatial,15,0.453,2,0,202608261125,16,True,10
depth2_spatial,15,0.453,2,1,202608261145,20,True,10
depth2_spatial,15,0.453,2,2,202608261245,32,False,
depth2_spatial,15,0.453,2,2,202608261340,43,True,10
depth2_spatial,15,0.453,2,4,202608261155,22,True,5
depth2_spatial,15,0.453,2,4,202608261340,43,True,5
depth2_spatial,15,0.453,2,5,202608261335,42,True,5
depth2_spatial,15,0.453,2,6,202608261145,20,True,5
depth2_spatial,15,0.453,4,0,202608261735,5,False,
depth2_spatial,15,0.453,4,1,202608261725,3,False,
depth2_spatial,15,0.453,4,3,202608261730,4,True,5
depth2_spatial,15,0.453,6,0,202608271545,96,False,
depth2_spatial,15,0.453,6,1,202608271415,78,True,5
depth2_spatial,15,0.453,6,3,202608271530,93,False,
depth2_spatial,15,0.453,6,4,202608271405,76,True,10
depth2_spatial,15,0.453,6,6,202608271525,92,True,5
depth2_spatial,15,0.453,6,6,202608271600,99,True,5
depth2_spatial,15,0.453,6,7,202608271355,74,True,10
depth2_spatial,15,0.453,26,2,202609011320,16,True,5
depth2_spatial,15,0.453,26,5,202609011320,16,False,
depth2_spatial,15,0.453,26,7,202609011300,12,False,
depth2_spatial,15,0.453,26,8,202609011315,15,True,5
depth2_spatial,15,0.453,30,3,202609021150,11,True,5
depth2_spatial,15,0.453,30,6,202609021140,9,True,5
depth2_spatial,15,0.453,70,8,202609100950,4,False,
depth2_spatial,15,0.453,81,5,202609121010,0,False,
depth2_spatial,15,0.453,81,8,202609121020,2,True,5
depth2_spatial,30,0.499,2,0,202608261020,3,True,10
depth2_spatial,30,0.499,2,0,202608261125,16,True,10
depth2_spatial,30,0.499,2,1,202608261145,20,True,10
depth2_spatial,30,0.499,2,2,202608261245,32,False,
depth2_spatial,30,0.499,2,3,202608261110,13,True,15
depth2_spatial,30,0.499,2,4,202608261155,22,True,5
depth2_spatial,30,0.499,2,5,202608261335,42,True,5
depth2_spatial,30,0.499,2,6,202608261125,16,True,25
depth2_spatial,30,0.499,2,7,202608261210,25,True,5
depth2_spatial,30,0.499,4,0,202608261735,5,False,
depth2_spatial,30,0.499,4,1,202608261725,3,False,
depth2_spatial,30,0.499,4,3,202608261730,4,True,5
depth2_spatial,30,0.499,6,0,202608271545,96,False,
depth2_spatial,30,0.499,6,1,202608271415,78,True,5
depth2_spatial,30,0.499,6,3,202608271530,93,False,
depth2_spatial,30,0.499,6,4,202608271400,75,True,15
depth2_spatial,30,0.499,6,6,202608271525,92,True,5
depth2_spatial,30,0.499,6,6,202608271600,99,True,5
depth2_spatial,30,0.499,6,7,202608271345,72,True,20
depth2_spatial,30,0.499,26,8,202609011310,14,True,10
depth2_spatial,30,0.499,30,0,202609021155,12,True,10
depth2_spatial,30,0.499,30,3,202609021145,10,True,10
depth2_spatial,30,0.499,30,6,202609021140,9,True,5
depth2_spatial,30,0.499,70,8,202609100950,4,False,
depth2_spatial,60,0.5630000000000001,2,0,202608261020,3,True,10
depth2_spatial,60,0.5630000000000001,2,0,202608261125,16,True,10
depth2_spatial,60,0.5630000000000001,2,1,202608261145,20,True,10
depth2_spatial,60,0.5630000000000001,2,2,202608261245,32,False,
depth2_spatial,60,0.5630000000000001,2,3,202608261110,13,True,15
depth2_spatial,60,0.5630000000000001,2,4,202608261155,22,True,5
depth2_spatial,60,0.5630000000000001,2,6,202608261145,20,True,5
depth2_spatial,60,0.5630000000000001,4,0,202608261735,5,False,
depth2_spatial,60,0.5630000000000001,4,1,202608261725,3,False,
depth2_spatial,60,0.5630000000000001,4,3,202608261730,4,True,5
depth2_spatial,60,0.5630000000000001,6,0,202608271545,96,False,
depth2_spatial,60,0.5630000000000001,6,1,202608271415,78,True,5
depth2_spatial,60,0.5630000000000001,6,3,202608271530,93,False,
depth2_spatial,60,0.5630000000000001,6,4,202608271405,76,True,10
depth2_spatial,60,0.5630000000000001,6,6,202608271525,92,True,5
depth2_spatial,60,0.5630000000000001,6,7,202608271355,74,True,10
